player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
pero antic,222,79,195,97.78698,0.35585585585585583,0.4391891891891892,0.4404818904292476,-0.0846260345733918,258.0,242.0,260.0,-2.0,-18.0
nicolas batum,450,175,417,195.19469,0.3888888888888889,0.4633333333333333,0.4337659708658854,-0.044877081976996525,234.0,212.0,236.0,-2.0,-24.0
kyle oquinn,209,103,217,97.08676,0.49282296650717705,0.5191387559808612,0.4645299592086573,0.028293007298519746,46.0,75.0,49.0,-3.0,26.0
serge ibaka,735,346,768,336.2434,0.4707482993197279,0.5224489795918368,0.45747402476615645,0.013274274553571441,81.0,71.0,84.0,-3.0,-13.0
trevor ariza,683,259,655,302.58395,0.37920937042459735,0.479502196193265,0.44302189437397055,-0.0638125239493732,246.0,181.0,250.0,-4.0,-69.0
kostas papanikolaou,187,65,157,84.82969,0.34759358288770054,0.4197860962566845,0.4536347006731492,-0.10604111778544867,260.0,254.0,264.0,-4.0,-10.0
norris cole,365,145,322,159.48529,0.3972602739726027,0.4410958904109589,0.4369460014447774,-0.03968572747217469,224.0,241.0,228.0,-4.0,13.0
ed davis,350,211,422,192.15234,0.6028571428571429,0.6028571428571429,0.5490066964285715,0.0538504464285714,5.0,7.0,10.0,-5.0,-3.0
deandre jordan,393,280,560,253.23935,0.712468193384224,0.712468193384224,0.6443749347715887,0.06809325861263527,1.0,1.0,6.0,-5.0,-5.0
luol deng,567,274,606,261.65094,0.48324514991181655,0.5343915343915344,0.4614655025421627,0.021779647369653876,61.0,53.0,67.0,-6.0,-14.0
bradley beal,583,243,562,256.17502,0.41680960548885077,0.48198970840480276,0.4394082646836138,-0.02259865919476306,190.0,169.0,196.0,-6.0,-27.0
dennis schroder,453,196,423,201.47626,0.4326710816777042,0.46688741721854304,0.44475994994308776,-0.012088868265383579,162.0,203.0,168.0,-6.0,35.0
solomon hill,479,189,428,210.40692,0.3945720250521921,0.44676409185803756,0.4392628838971164,-0.0446908588449243,228.0,237.0,235.0,-7.0,2.0
tobias harris,715,331,722,326.82336,0.46293706293706294,0.5048951048951049,0.4570956143465909,0.0058414485904720315,96.0,96.0,104.0,-8.0,-8.0
anthony davis,841,457,915,426.00894,0.5434007134363853,0.5439952437574316,0.506550465696065,0.03685024774032031,22.0,43.0,30.0,-8.0,13.0
nikola mirotic,361,145,352,158.90608,0.40166204986149584,0.48753462603878117,0.44018305305628896,-0.038521003194793124,218.0,155.0,227.0,-9.0,-72.0
roy hibbert,528,237,474,238.13004,0.44886363636363635,0.44886363636363635,0.45100385492498224,-0.0021402185613458857,124.0,232.0,135.0,-11.0,97.0
brook lopez,631,308,617,295.94818,0.48811410459587956,0.4889064976228209,0.46901455016219296,0.019099554433686605,59.0,152.0,72.0,-13.0,80.0
james ennis,159,61,139,72.92329,0.3836477987421384,0.4371069182389937,0.4586370216225678,-0.07498922288042942,240.0,245.0,254.0,-14.0,-9.0
robert sacre,242,100,200,106.72551,0.4132231404958678,0.4132231404958678,0.4410145026593169,-0.02779136216344913,198.0,258.0,212.0,-14.0,46.0
evan turner,499,201,426,221.92828,0.4028056112224449,0.42685370741482964,0.4447460595018161,-0.04194044827937121,216.0,252.0,231.0,-15.0,21.0
otto porter,284,130,284,129.47302,0.45774647887323944,0.5,0.4558909241582306,0.0018555547150088114,108.0,109.0,123.0,-15.0,-14.0
quincy acy,235,111,232,108.51165,0.4723404255319149,0.49361702127659574,0.4617517024912733,0.010588723040641623,77.0,132.0,93.0,-16.0,39.0
rudy gobert,267,167,334,155.6383,0.6254681647940075,0.6254681647940075,0.5829150024871255,0.042553162306882,3.0,6.0,19.0,-16.0,-13.0
luc mbah a moute,491,201,443,218.68979,0.4093686354378819,0.4511201629327902,0.44539671857099666,-0.036028083133114785,203.0,231.0,222.0,-19.0,9.0
mnta ellis,1052,473,1018,476.54907,0.44961977186311786,0.4838403041825095,0.45299341470116444,-0.0033736428380465866,120.0,165.0,140.0,-20.0,25.0
al horford,715,387,783,365.78116,0.5412587412587413,0.5475524475524476,0.5115820397863855,0.029676701472355793,23.0,34.0,43.0,-20.0,-9.0
victor oladipo,729,328,710,330.12735,0.4499314128943759,0.4869684499314129,0.45284958827642746,-0.00291817538205158,116.0,160.0,138.0,-22.0,22.0
lamarcus aldridge,1050,473,971,476.08636,0.4504761904761905,0.4623809523809524,0.45341558547247024,-0.002939394996279765,115.0,214.0,139.0,-24.0,75.0
kevin love,770,332,774,347.41464,0.43116883116883115,0.5025974025974026,0.4511878471869927,-0.02001901601816153,166.0,103.0,191.0,-25.0,-88.0
mike scott,367,162,380,165.82246,0.44141689373297005,0.5177111716621253,0.45183232694620656,-0.010415433213236513,142.0,76.0,167.0,-25.0,-91.0
